Column1,공급사,과세/면세,담기,매입가,상품명(기본),수정후,상품코드,재입고알림,제조사,reg_카테고리,대분류,판매가,품절여부,후기,한식,중식,일식,양식,분식,카페
795,패커스,과세,1,52800,어린이 죽용기 소 300ml 600개 1set(2박스/사각반죽),,1124,사용함,자체제작,샐러드 야채 탕 사각용기 반찬용기 죽 음식종류별 찜 반찬 용기 한식(분식) 면용기 죽용기 소스,용기,71220,정상,2,,,,,,
796,패커스,과세,3,59400,어린이 죽용기 대 400ml 600개 1set(2박스/사각반죽),,1123,사용함,자체제작,회접시 탕 죽 찜 일식 양식 용기 한식(분식) 면용기 죽용기,용기,79620,정상,4,,,,,,
797,패커스,과세,14,99000,200파이 고강도 냉면용기 중 400개 1set(2박스),,1122,사용함,자체제작,회접시 면 탕 탕용기 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,133220,정상,10,,,,,,
798,패커스,과세,5,69300,220파이 고강도 냉면용기 대 200개 1set(2박스),,1121,사용함,자체제작,회접시 면 탕 탕용기 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,94470,정상,15,,,,,,
799,패커스,과세,25,42900,"70파이 다용도컵 세트 1호 소 70ml 블랙 PS-3,000개 1set(2박스)",,1091,사용함,자체제작,밥용기 국 반찬용기 떡 일식 양식 용기 중식 한식(분식) 소스,용기,55870,정상,16,,,,,,
800,패커스,과세,1,82500,"95파이 고강도 다용도컵 세트 4호 대 270ml 백색 PP-1,000개 1set(2박스)",,1090,사용함,자체제작,밥용기 국 일식 양식 용기 중식 한식(분식) 소스,용기,105270,정상,0,,,,,,
801,패커스,과세,5,46200,"95파이 다용도컵 세트 4호 대 270ml 블랙 PS-1,000개 1set(2박스)",,1089,사용함,자체제작,밥용기 국 반찬용기 떡 일식 양식 용기 중식 한식(분식) 소스,용기,63620,정상,1,,,,,,
802,패커스,과세,24,49500,195파이 미니탕용기 투톤 300개 1set(2박스),,1085,사용함,자체제작,회접시 면 탕 탕용기 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,68970,정상,18,,,,,,
803,패커스,과세,12,68200,고강도 감자탕용기 소 200개 1set(2박스),,1084,사용함,자체제작,회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,87720,정상,8,,,,,,
804,패커스,과세,8,72600,고강도 감자탕용기 중 200개 1set(2박스),,1083,사용함,자체제작,회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,93120,정상,6,,,,,,
805,패커스,과세,2,77000,고강도 감자탕용기 대 200개 1set(2박스),,1082,사용함,자체제작,회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,100920,정상,1,,,,,,
806,패커스,과세,129,44550,195파이 탕용기 소 300개 1set(2박스),,1077,사용함,자체제작,회접시 면 탕 탕용기 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,57850,정상,80,,,,,,
807,패커스,과세,3,47300,"92파이 20온스 약 560ml 1,000개 1박스",,1074,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,57860,정상,5,,,,,,
809,패커스,과세,52,51700,"105파이 다용도컵 세트 5호 대 370ml 블랙 PS-1,000개 1set(2박스)",,1071,사용함,자체제작,밥용기 국 반찬용기 떡 일식 양식 용기 중식 한식(분식) 소스,용기,64070,정상,14,,,,,,
810,패커스,과세,27,49500,"105파이 다용도컵 세트 5호 중 300ml 블랙 PS-1,000개 1set(2박스)",,1070,사용함,자체제작,밥용기 국 반찬용기 떡 일식 양식 용기 중식 한식(분식) 소스,용기,61470,정상,47,,,,,,
811,패커스,과세,17,47300,"105파이 다용도컵 세트 5호 소 250ml 블랙 PS-1,000개 1set(2박스)",,1069,사용함,자체제작,밥용기 국 반찬용기 떡 일식 양식 용기 중식 한식(분식) 소스,용기,59670,정상,15,,,,,,
812,패커스,과세,1,61600,270파이 원형 접시 소 백색 200개 1박스,,1057,사용함,자체제작,탕 찜 요리접시 용기 중식,용기,69500,정상,2,,,,,,
813,패커스,과세,8,66000,짬짜면용기 2칸 300개 1박스,,1055,사용함,자체제작,용기 볶음밥용기 면 중식,용기,83110,정상,9,,,,,,
814,패커스,과세,4,13750,스티로폼 백색 18호 1칸 500개 1박스,,1040,사용함,자체제작,분식용기 농수산물 반찬용기 스트로폼용기 떡 일식 양식 중식 용기 한식(분식),용기,21000,정상,3,,,,,,
815,패커스,과세,3,11220,"단무지 2칸 1,200개 1박스",,1039,사용함,자체제작,용기 반찬용기 중식,용기,17300,정상,0,,,,,,
816,패커스,과세,20,11550,"단무지 3칸 1,000개 1박스",,1038,사용함,자체제작,용기 반찬용기 중식,용기,18400,정상,11,,,,,,
851,패커스,과세,0,18700,"커피스틱 블랙 15cm 10,000개 1박스",,657,사용함,자체제작,베이커리 카페 용기 커피스틱 빨대,용기,27360,정상,0,,,,,,
852,패커스,과세,0,26400,"스트로우 일반형 블랙 빨대 21cm 10,000개 1박스",,648,사용함,자체제작,베이커리 카페 용기 커피스틱 빨대,용기,37310,정상,0,,,,,,
853,패커스,과세,1,35200,"스트로우 자바라 블랙 빨대 21cm 10,000개 1박스",,641,사용함,자체제작,베이커리 카페 용기 커피스틱 빨대,용기,49010,정상,4,,,,,,
854,패커스,과세,0,18700,"커피스틱 레드 15cm 10,000개 1박스",,640,사용함,자체제작,베이커리 카페 용기 커피스틱 빨대,용기,27360,정상,0,,,,,,
855,패커스,과세,0,19800,"커피스틱 블랙 18cm 10,000개 1박스",,639,사용함,자체제작,베이커리 카페 용기 커피스틱 빨대,용기,28810,정상,2,,,,,,
856,패커스,과세,0,19800,"커피스틱 레드 18cm 10,000개 1박스",,638,사용함,자체제작,베이커리 카페 용기 커피스틱 빨대,용기,28810,정상,0,,,,,,
857,패커스,과세,0,7700,알루미늄 일회용 캠핑용기 세트 1 SET,,623,사용함,자체제작,회접시 탕 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,15600,정상,3,,,,,,
858,패커스,과세,0,17600,"8/9온스 종이컵뚜껑 개폐형 1,000개 1박스",,615,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,20600,정상,0,,,,,,
859,패커스,과세,0,16500,"8/9온스 종이컵뚜껑 타공형 일반형 1,000개 1박스",,614,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,19500,정상,0,,,,,,
860,패커스,과세,128,47850,195파이 탕용기 대 300개 1set(2박스),,608,사용함,자체제작,회접시 면 탕 탕용기 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,61900,정상,96,,,,,,
861,패커스,과세,14,74250,사각 죽용기 신형 중 750ml 500개 1set(2박스),,605,사용함,자체제작,탕 죽 찜 양식 용기 한식(분식) 면용기 죽용기,용기,98600,정상,37,,,,,,
862,패커스,과세,102,49500,195파이 미니탕용기 블랙 300개 1set(2박스),,603,사용함,자체제작,회접시 면 탕 탕용기 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,63070,정상,174,,,,,,
863,패커스,과세,26,49500,195파이 미니탕용기 백색 300개 1set(2박스),,602,사용함,자체제작,회접시 면 탕 탕용기 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,63070,정상,9,,,,,,
864,패커스,과세,0,226380,"원형 340mm 알루미늄 직화 냄비 특대 3,500ml 200개 1박스",,600,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,302500,정상,0,,,,,,
865,패커스,과세,1,203280,"원형 320mm 알루미늄 직화 냄비 대 3,000ml 200개 1박스",,597,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,272000,정상,0,,,,,,
866,패커스,과세,0,180180,"원형 295mm 알루미늄 직화 냄비 중 2,150ml 200개 1박스",,596,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,241000,정상,0,,,,,,
867,패커스,과세,0,157080,"원형 270mm 알루미늄 직화 냄비 소 1,800ml 200개 1박스",,595,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,210000,정상,0,,,,,,
868,패커스,과세,0,110880,"원형 220mm 알루미늄 직화 냄비 특소 1,350ml 200개 1박스",,594,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,148900,정상,0,,,,,,
869,패커스,과세,6,41580,사각 270 냄비 뚜껑 대 200개 1박스,,593,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,60000,정상,0,,,,,,
870,패커스,과세,8,203280,"사각 270 알루미늄 직화 냄비 대 2,750ml 200개 1박스",,592,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,272000,정상,2,,,,,,
871,패커스,과세,1,180180,"사각 250 알루미늄 직화 냄비 소 2,300ml 200개 1박스",,591,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,240000,정상,0,,,,,,
872,패커스,과세,0,32340,사각 225 냄비 뚜껑 200개 1박스,,590,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,47000,정상,0,,,,,,
875,패커스,과세,0,143220,"사각 225 전자렌지 직화 냄비 1,500ml 200개 1박스",,575,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,191700,정상,0,,,,,,
876,패커스,과세,1,120120,"사각 195 전자렌지 직화 냄비 1,000ml 200개 1박스",,573,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,161300,정상,0,,,,,,
877,패커스,과세,2,27720,원형 210파이 냄비 뚜껑 200개 1박스,,572,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,40800,정상,0,,,,,,
878,패커스,과세,2,143220,"원형 210파이 전자렌지 직화 냄비 1,450ml 200개 1박스",,571,사용함,자체제작,초밥 도시락용기 일식 양식 용기 직화용기 한식(분식),용기,192700,정상,6,,,,,,
879,패커스,과세,0,9900,10-13온스 테이크아웃 홀더 디자인20종 랜덤구성 500개 1박스,,561,사용함,자체제작,컵홀더 베이커리 카페 용기 컵캐리어,용기,25400,정상,2,,,,,,
880,패커스,과세,0,18700,"12 16 20온스 종이컵뚜껑 타공형 일반형 1,000개 1박스",,560,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,21800,정상,0,,,,,,
881,패커스,과세,0,19800,"12 16 20온스 종이컵뚜껑 개폐형 1,000개 1박스",,559,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,22900,정상,0,,,,,,
882,패커스,과세,1,17600,"10-13온스 종이컵뚜껑 타공형 일반형 1,000개 1박스",,558,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,20600,정상,5,,,,,,
883,패커스,과세,1,18700,"10-13온스 종이컵뚜껑 개폐형 1,000개 1박스",,557,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,21800,정상,2,,,,,,
896,패커스,과세,9,51150,PP 4칸 사각찬용기 300개 1set(2박스/21164-4칸),4칸 사각찬용기,481,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 중식 용기 직화용기 한식(분식),용기,69200,정상,9,,,,,,
897,패커스,과세,11,49500,125파이 원형용기 소 250ml 백색 PP 600개 1set(2박스),125파이 원형용기 소,480,사용함,자체제작,밥용기 국 일식 양식 용기 중식 한식(분식) 소스,용기,69400,정상,17,,,,,,
898,패커스,과세,7,52800,125파이 원형용기 중 350ml 백색 PP 600개 1set(2박스),125파이 원형용기 중,479,사용함,자체제작,밥용기 국 일식 양식 용기 중식 한식(분식) 소스,용기,74620,정상,10,,,,,,
899,패커스,과세,10,56100,125파이 원형용기 대 450ml 백색 PP 600개 1set(2박스),125파이 원형용기 대,478,사용함,자체제작,밥용기 국 일식 양식 용기 중식 한식(분식) 소스,용기,78970,정상,9,,,,,,
900,패커스,과세,78,37400,PP 5칸 도시락용기 200개 1박스(돈까스 도시락/큰 사이즈),PP 5칸 도시락용기,455,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 중식 용기 직화용기 한식(분식),용기,49700,정상,71,,,,,,
901,패커스,과세,22,52800,PP 8칸 도시락용기 L3 200개 1박스,PP 8칸 도시락용기,451,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 중식 용기 직화용기 한식(분식),용기,74600,정상,10,,,,,,
902,패커스,과세,10,52800,PP 7칸 도시락용기 L2 200개 1박스,PP 7칸 도시락용기,450,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 중식 용기 직화용기 한식(분식),용기,74600,정상,11,,,,,,
903,패커스,과세,4,52800,PP 6칸 도시락용기 L1 200개 1박스,PP 6칸 도시락용기,449,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 중식 용기 직화용기 한식(분식),용기,74600,정상,6,,,,,,
904,패커스,과세,22,36300,PP 5칸 도시락용기 04 200개 1박스(작은 사이즈),PP 5칸 도시락용기,447,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 중식 용기 직화용기 한식(분식),용기,48500,정상,51,,,,,,
905,패커스,과세,18,36300,PP 4칸 도시락용기 B 200개 1박스,PP 4칸 도시락용기,446,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 중식 용기 직화용기 한식(분식),용기,48500,정상,18,,,,,,
906,패커스,과세,15,36300,PP 4칸 도시락용기 A 200개 1박스,PP 4칸 도시락용기,445,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 중식 용기 직화용기 한식(분식),용기,48500,정상,6,,,,,,
907,패커스,과세,2,125400,"130파이 원형용기 소 350ml 백색 PP 1,200개 1set(2박스)",130파이 원형용기 소,443,사용함,자체제작,밥용기 국 일식 양식 용기 중식 한식(분식) 소스,용기,192720,정상,4,,,,,,
908,패커스,과세,1,132000,"130파이 원형용기 대 470ml 백색 PP 1,200개 1set(2박스)",130파이 원형용기 대,442,사용함,자체제작,밥용기 국 일식 양식 용기 중식 한식(분식) 소스,용기,202620,정상,7,,,,,,
909,패커스,과세,5,66000,우동용기 특대 백색 400개 1박스,우동용기 특대,441,사용함,자체제작,회접시 면 탕 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기,용기,85110,정상,1,,,,,,
910,패커스,과세,2,57200,우동용기 대 백색 400개 1박스,우동용기 대,440,사용함,자체제작,회접시 면 탕 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기,용기,74010,정상,9,,,,,,
911,패커스,과세,15,47300,"105파이 다용도컵 세트 5호 소 250ml 백색 PS 1,000개 1set(2박스)",105파이 다용도컵 세트,437,사용함,자체제작,밥용기 국 반찬용기 떡 일식 양식 용기 중식 한식(분식) 소스,용기,59670,정상,26,,,,,,
920,패커스,과세,0,33000,"92파이 아이스컵 무지 9온스 250ml 투명 PET 1,000개",92파이 아이스컵,408,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,53900,정상,0,,,,,,
921,패커스,과세,2,50600,98파이 24온스 약720ml 아이스컵 PET 1000개 1박스,98파이 아이스컵,397,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,69610,정상,19,,,,,,
922,패커스,과세,6,48400,98파이 20온스 약 600ml 아이스컵 PET 1000개 1박스,98파이 아이스컵,396,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,56910,정상,9,,,,,,
923,패커스,과세,2,40700,98파이 16온스 약 480ml 아이스컵 PET 1000개 1박스,98파이 아이스컵,395,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,50660,정상,11,,,,,,
924,패커스,과세,5,39600,92파이 16온스 약 480ml 아이스컵 PET 1000개 1박스,92파이 아이스컵,393,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,51810,품절,22,,,,,,
925,패커스,과세,6,33000,92파이 14온스 약 420ml 아이스컵 PET 1000개 1박스,92파이 아이스컵,392,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,39910,정상,18,,,,,,
926,패커스,과세,9,31900,92파이 12온스 약 340ml 아이스컵 PET 1000개 1박스,92파이 아이스컵,391,사용함,자체제작,베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,41660,정상,25,,,,,,
929,패커스,과세,1,69300,"270파이 탕용기 왕대 6,500ml 100개 1set(1박스)",270파이 탕용기 왕대,382,사용함,자체제작,회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기 찜용기,용기,91270,정상,9,,,,,,
