Column1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기,한식,중식,일식,양식,분식,카페
924,패커스,과세,5,39600,92파이 16온스 약 480ml 아이스컵 PET 1000개 1박스,393,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
043003002 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑 > 아이스컵
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,51810,품절,22,0,0,0,0,0,1
925,패커스,과세,6,33000,92파이 14온스 약 420ml 아이스컵 PET 1000개 1박스,392,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
043003002 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑 > 아이스컵
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,39910,정상,18,0,0,0,0,0,1
926,패커스,과세,9,31900,92파이 12온스 약 340ml 아이스컵 PET 1000개 1박스,391,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
043003002 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑 > 아이스컵
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,41660,정상,25,0,0,0,0,0,1
929,패커스,과세,1,69300,"270파이 탕용기 왕대 6,500ml 100개 1set(1박스)",382,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
038001002 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 찜용기",회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기 찜용기,용기,91270,정상,9,1,0,1,1,1,0
930,패커스,과세,2,58300,"240파이 탕용기 특대 5,000ml 100개 1set(1박스)",381,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
038001002 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 찜용기",회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기 찜용기,용기,77370,정상,8,1,0,1,1,1,0
931,패커스,과세,14,51700,"225파이 탕용기 대 3,000ml 200개 1set(2박스)",380,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
061 : vol.4 Catalogue
061017 : vol.4 Catalogue > 카달로그_18",회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,70670,정상,17,1,0,1,1,1,0
932,패커스,과세,21,48400,"225파이 탕용기 중 2,400ml 200개 1set(2박스)",379,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
061 : vol.4 Catalogue
061017 : vol.4 Catalogue > 카달로그_18",회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,65640,정상,38,1,0,1,1,1,0
933,패커스,과세,20,45100,"225파이 탕용기 소 1,800ml 200개 1set(2박스)",378,사용함,자체제작,"038 : 한식(분식) 용기
038001 : 한식(분식) 용기 > 탕/찜/죽/면용기
040 : 일식 용기
040001 : 일식 용기 > 탕/찜/면용기/회접시
041 : 양식 용기
041001 : 양식 용기 > 탕/찜/죽/면용기
038001001 : 한식(분식) 용기 > 탕/찜/죽/면용기 > 탕용기
040001001 : 일식 용기 > 탕/찜/면용기/회접시 > 탕용기
041001001 : 양식 용기 > 탕/찜/죽/면용기 > 탕용기
061 : vol.4 Catalogue
061017 : vol.4 Catalogue > 카달로그_18",회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,59990,정상,37,1,0,1,1,1,0
948,패커스,과세,5,13200,92파이 아이스컵 뚜껑 돔형 구멍없음 PET 1000개 1박스,219,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
043003003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑 > 뚜껑
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,19910,정상,19,0,0,0,0,0,1
949,패커스,과세,12,13200,92파이 아이스컵 뚜껑 돔형 구멍있음 PET 1000개 1박스,217,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
043003003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑 > 뚜껑
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",베이커리 종이컵 뚜껑 아이스컵 카페 용기,용기,19910,정상,43,0,0,0,0,0,1
