,주문자ID,17년1분기,17년2분기,17년3분기,17년4분기,18년1분기,18년2분기,18년3분기,18년4분기,19년1분기,19년2분기
64,1076608997@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,107780155@n,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,1083107756@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
67,10834134@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68,10843505@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
69,108612859@n,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
70,10874046@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
71,1087561856@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72,1088225570@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,108964404@n,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
74,108984515@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
75,1090570620@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
76,1090959153@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
77,1092978360@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
78,109319048@n,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,4.0
79,10935096@n,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
80,1094652352@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
81,1094746791@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
82,109844993@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
83,10989316@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
84,10992358@n,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
85,109963639@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
86,11096193@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
87,11098155@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,111139172@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,111681891@n,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,2.0,0.0
90,11178928@n,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,11185770@n,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
92,111897872@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
93,11227273@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94,112549561@n,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0
95,112937542@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
96,11321210@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0
97,113969589@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
98,1141025@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
99,11470195@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
100,114809986@n,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
101,115136874@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
102,115349556@n,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,115424915@n,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0
104,11569157@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
105,115897476@n,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0
106,115929032@n,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
107,11599985@n,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
108,116083227@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
109,116175245@n,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
110,116235519@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
111,11625578@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112,11673332@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
113,1169534567@g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
114,11712326@n,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
115,117226079@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116,117254757@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0
117,117421346@n,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,119347465@n,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
119,12024137@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
120,1207579@n,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,3.0,2.0
121,12102532@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
122,121506699@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123,12192782@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
124,12199150@n,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,12228241@n,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
