주문자ID,17년1분기,17년2분기,17년3분기,17년4분기,18년1분기,18년2분기,18년3분기,18년4분기,19년1분기,19년2분기
107780155@n,0.0,0.0,0.0,0.0,0.0,39000.0,0.0,0.0,0.0,0.0
1083107756@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107210.0
10834134@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68970.0
10843505@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81600.0,0.0
108612859@n,0.0,0.0,0.0,0.0,0.0,113380.0,0.0,0.0,0.0,0.0
10874046@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113720.0,0.0
1087561856@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61900.0
1088225570@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48600.0
108964404@n,0.0,0.0,0.0,0.0,0.0,0.0,132640.0,0.0,67320.0,65640.0
108984515@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122860.0
1090570620@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154410.0
1090959153@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172220.0
1092978360@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98600.0
109319048@n,0.0,0.0,0.0,0.0,0.0,136000.0,78800.0,149490.0,70620.0,203410.0
10935096@n,0.0,0.0,0.0,0.0,0.0,78800.0,0.0,0.0,0.0,0.0
1094652352@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77000.0
1094746791@k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0
109844993@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99660.0,0.0
10989316@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81600.0,0.0,0.0
10992358@n,0.0,0.0,0.0,0.0,0.0,550940.0,0.0,0.0,0.0,0.0
109963639@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159820.0
11096193@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118250.0
11098155@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55870.0
111139172@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60720.0
