주문자ID,상품구매금액
cjd1257,1075340
cjdekatlstk,212190
cjdrldhk1,87120
cjfl8050,618500
cjh9745,267630
cji3838,394110
cjj7371,1786640
cjjyt625,275000
cjmz871,115700
cjsekgod,97400
ck12311,755640
ckdry4732,202920
ckfood,188440
ckh1240,3923580
ckh5020,165500
ckhckh,673780
cks7302,286770
cksrl1567,122200
clcc,248180
clear89,27440
clemensekr,3834010
cls12,1316810
clzksl,116000
cmj000222,278810
cmj9726,306940
cmk2828,68900
cmp1220,16983790
cocktail000,116820
cocomirijo,40920
coffeehour,280360
cofls0522,1167870
congee,240020
congee0078,676590
congmyong,167940
cookie19781988,106390
cool02123,868570
cool8942,96460
coolsts,399010
corea0000,1168800
coroon,7215080
cote,90500
cow1977,388080
cozy0812,6510705
cp990480,115650
cpark13,57220
cple0107,4766500
cptm1234,78970
craftbros,67320
cream1512,131160
crstn0413,222500
cruxf014,126140
csh3588,103300
cshcsa,150050
cssac,50570
csy2011,1318840
ct7300,51700
cto9818,1736640
cucumber78,155400
cuine,125090
curry007,542300
cute1093,66670
cwm13501,53900
cws1097,88520
cy6068,1185780
cy606800,99660
cyan0710,86790
cyeonseo,93720
cygil3288,81520
cyhs0328,163110
cylcys,88520
cyo760828,226600
cyslovep,2390360
dadam,207440
dadamtteul,309660
daeduk,434770
daega3,104000
daemyeong,283640
daetteul7214,652220
dahamggea12,123700
dain4430,450270
danbi531,25200
dancerkim73,70560
dannazzang,627560
daonpork,772550
daria12,1830050
dasom4698,573030
daum8514,541510
day13579,310370
dbap8994,363500
dbgndls54,110880
dbs3648,474170
dbsal911,607760
dckim57,55870
dd4761,150320
ddoogi,133510
ddungsjung,168770
ddy99031,185740
deadand,402900
dear2104,95890
deasung8424,147850
dew0935,331770
dew7007,292830
dfac0982,1595110
dh1103,63070
dhaudtn7,2852590
dhfl1017,132500
dhjekd,7720160
dhkdths,37380
dhlrud66,240400
dhoi1676,96920
dhrghk0107,74800
dhrghk3930,176240
dicaya2440,99350
didgh5112,800590
didgoaks,852070
didtjsgh12,146520
didwkrkd7759,4969640
didxpwns,1173630
dieseltuna,152940
dilee010,114610
dingding000,1527770
diningsen,286670
ditm7,1564280
djflzjem12,124730
djmoon79,38390
dkajfldi,171900
dkclagkvna,437130
dkek6666,79200
dkfldpdy,11660
dkfm1022,94020
dkny1972,296000
dknyusa7,70620
dkrl6466,206000
dksxogk72,6960825
dla002472,332800
dlalsghrj,177770
dlalswo7877,669770
dlarhkdtjd77,148960
dlatpwnd,278660
dlaudwo123,1394780
dlfqjswl,1371950
dlghktn77,293410
dlqudwo1004,3591450
dlrudgh34,3439600
dlstjd2476,3537370
dmlrbs22,60540
dms0505,117300
dmsdud2171,99350
dmsdud6015,149970
dmswn9020,142710
dnfoddl,642080
dnjfem200,192500
dnjsgur0110,192400
doc89,277400
doctorlee,788890
doddhddnd,207600
dodlsi,257400
dog6761,243130
doggysong,3362690
doinjang0529,743160
dojaehyuk,5986030
dojs32,6862335
dokyo0125,4311150
dolobox,184140
don300,444070
donald44,119750
dong6973,2937860
donggon2,1610960
doniya,145510
donkorea,132030
dontoriya,399280
dookki1228,66920
doolykong,423610
doryjjimdak,779790
dosugi,165450
dragon5012,52950
driving4,81400
ds0702,68970
dsa767,118850
dtstory,270270
duck7598,548430
duckfood5295,90280
duddnsp123,136400
dudehwwkd,1265200
dudgus1203,436900
dudtka2sys,327720
dukezzz,794190
dumaekong,540060
duruzoon70,1993330
dyddkstk,217400
dydwh80,241400
dydwls5050,368300
dyskeks,244640
earth67,172760
ebiga7364,61900
ec3101,71450
eddy3788,267280
eem5531,362670
eezyong,121720
egg7676,132500
egg7878,613770
ehdaudzkcm,124080
ehdwksang,339400
ehfdl1108,73000
ehfl0153,174900
ejakman,76400
ekaldksl,73850
ekekadk,131000
emme4777,1285060
end1443589,78410
end44,1574910
endgus87,637730
entpdns67,549190
entry7882,276830
enya11,427200
eoktae,173740
eolkal,2090370
eorndurh,94600
epuro,116820
esc000,119590
esca25,1683040
ester68,129300
etalcjb,1904920
eum0410,119020
eun8966,1955430
eunjo5525,542270
eunjoogod,84730
eunju0913,53000
eunkyong86,276350
eviankim,129400
evita70,52800
exit777,113520
eyyw1205,82990
f7f3f1f6,521260
fa1708,68970
family2018,90140
fbbnet,87410
fbdmstj12,73200
fbrkgml98,44000
fhak0127,128240
figgy88,295720
final479,1574020
firebit,104600
firewater2,70620
fish3337,132500
fishun20,220740
fk1690,737350
fkvkdpf1974,220740
flamesim,256430
flower213,29040
flower4494,129200
