,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
699,699,702,패커스,과세,2,29700,"비닐봉투 무지 중 백색 1,000개",1326,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투",비닐봉투 소모품 주방용품,주방용품,39740,품절,7
700,700,703,패커스,과세,5,36300,"비닐봉투 무지 대 백색 1,000개",1325,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투",비닐봉투 소모품 주방용품,주방용품,48600,정상,4
701,701,704,패커스,과세,0,48400,"비닐봉투 무지 특대 백색 1,000개",1324,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투",비닐봉투 소모품 주방용품,주방용품,63410,정상,2
716,716,719,패커스,과세,30,22510,"198mm (7치) 대나무젓가락 1,500개 끝내젓갈",1297,사용함,자체제작,"046 : 주방용품/소모품
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,32220,정상,20
718,718,721,패커스,과세,9,24750,"175mm 수저 검정 1,500개 1박스",1283,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",소모품 일회용품 나이프 주방용품 포크 스푼,주방용품,33000,정상,24
726,726,729,패커스,과세,8,5500,비닐봉투 배달중 소 백색 200개,1272,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,9360,정상,2
727,727,730,패커스,과세,12,6820,비닐봉투 배달중 중 백색 200개,1271,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,11010,정상,1
728,728,731,패커스,과세,29,8140,비닐봉투 배달중 대 백색 200개,1270,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,12750,정상,2
729,729,732,패커스,과세,5,5280,비닐봉투 배달중 특대 백색 100개,1269,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,9190,정상,1
730,730,733,패커스,과세,27,5500,비닐봉투 맛난거들었쪙 소 백색 200개,1268,사용함,자체제작,"046 : 주방용품/소모품
046001 : 주방용품/소모품 > 비닐봉투
061 : vol.4 Catalogue
061013 : vol.4 Catalogue > 카달로그_13",비닐봉투 소모품 주방용품,주방용품,9360,정상,10
