,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
295,295,296,패커스,과세,0,31680,M&F 몬 라이스누들 10mm 250g 24개 (박스 상품),1853,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007001 : 식자재 > 태국/베트남 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005001 : NEW > 식자재 > 태국/베트남 식자재 > 면류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",베트남 식자재 면류 태국,식자재,34800,정상,0
296,296,297,패커스,과세,0,31680,M&F 몬 라이스누들 5mm 250g 24개 (박스 상품),1852,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007001 : 식자재 > 태국/베트남 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005001 : NEW > 식자재 > 태국/베트남 식자재 > 면류",베트남 식자재 면류 태국,식자재,34800,정상,0
297,297,298,패커스,과세,0,31680,M&F 몬 라이스누들 1mm 250g 24개 (박스 상품),1851,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007001 : 식자재 > 태국/베트남 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005001 : NEW > 식자재 > 태국/베트남 식자재 > 면류",베트남 식자재 면류 태국,식자재,34800,정상,0
298,298,299,패커스,과세,0,31680,M&F 몬 라이스누들 3mm 250g 24개 (박스 상품),1850,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007001 : 식자재 > 태국/베트남 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005001 : NEW > 식자재 > 태국/베트남 식자재 > 면류",베트남 식자재 면류 태국,식자재,34800,정상,0
300,300,301,패커스,면세,0,26480,M&F 건조고추 500g 10개 (박스 상품),1848,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050001 : 식자재 > 한식 식자재
050002 : 식자재 > 중식 식자재
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010002 : NEW > 식자재 > 중식 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
050007009 : 식자재 > 태국/베트남 식자재 > 향신료
026010005009 : NEW > 식자재 > 태국/베트남 식자재 > 향신료",태국 식자재 중식 베트남 한식 향신료,식자재,29400,정상,0
301,301,302,패커스,과세,0,49440,M&F 몬 뉴월남쌈(○원형/18cm) 300g 24개 (박스 상품),1847,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007001 : 식자재 > 태국/베트남 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005001 : NEW > 식자재 > 태국/베트남 식자재 > 면류",베트남 식자재 면류 태국,식자재,55800,정상,0
302,302,303,패커스,과세,0,49440,M&F 몬 뉴월남쌈(■사각/16cm) 300g 24개 (박스 상품),1846,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007001 : 식자재 > 태국/베트남 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005001 : NEW > 식자재 > 태국/베트남 식자재 > 면류",베트남 식자재 면류 태국,식자재,55800,정상,0
303,303,304,패커스,과세,0,49440,M&F 몬 뉴월남쌈(○원형/16cm) 300g 24개 (박스 상품),1845,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007001 : 식자재 > 태국/베트남 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005001 : NEW > 식자재 > 태국/베트남 식자재 > 면류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",베트남 식자재 면류 태국,식자재,55800,정상,0
304,304,305,패커스,과세,0,68160,M&F 홍콩면 에그누들 454g 24봉지 (박스 상품),1844,사용안함,M&F,"050 : 식자재
050007 : 식자재 > 태국/베트남 식자재
050007001 : 식자재 > 태국/베트남 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010005 : NEW > 식자재 > 태국/베트남 식자재
026010005001 : NEW > 식자재 > 태국/베트남 식자재 > 면류",베트남 식자재 면류 태국,식자재,78200,정상,0
305,305,306,패커스,과세,0,65940,M&F 발사믹 크림(기본) 500ml 6통 (박스 상품),1843,사용안함,M&F,"050 : 식자재
026 : NEW
026010 : NEW > 식자재",식자재,식자재,74800,정상,0
